JISコード,都道府県名,人口（人）,面積（km²）
01,北海道,5041491,78419.22
02,青森県,1164710,9645.10
03,岩手県,1144407,15275.05
04,宮城県,2247139,7282.30
05,秋田県,896324,11637.52
06,山形県,1010776,9323.15
07,福島県,1742317,13784.39
08,茨城県,2810049,6098.31
09,栃木県,1882342,6408.09
10,群馬県,1889425,6362.28
11,埼玉県,7329258,3797.75
12,千葉県,6275423,5156.48
13,東京都,14192184,2199.94
14,神奈川県,9223695,2416.55
15,新潟県,2098804,12583.88
16,富山県,995955,4247.54
17,石川県,1098531,4186.20
18,福井県,738691,4190.57
19,山梨県,790215,4465.27
20,長野県,1988462,13561.56
21,岐阜県,1913076,10621.29
22,静岡県,3524160,7776.99
23,愛知県,7465250,5173.21
24,三重県,1711370,5774.48
25,滋賀県,1400812,4017.38
26,京都府,2521262,4612.21
27,大阪府,8770315,1905.34
28,兵庫県,5336665,8400.82
29,奈良県,1285094,3690.94
30,和歌山県,879617,4724.66
31,鳥取県,531085,3507.03
32,島根県,641396,6707.78
33,岡山県,1830621,7114.44
34,広島県,2716733,8478.16
35,山口県,1279601,6113.00
36,徳島県,685357,4147.00
37,香川県,917058,1876.86
38,愛媛県,1275349,5675.89
39,高知県,655698,7102.28
40,福岡県,5097710,4987.66
41,佐賀県,787675,2440.64
42,長崎県,1250705,4131.20
43,熊本県,1696144,7409.18
44,大分県,1085198,6340.70
45,宮崎県,1031344,7734.16
46,鹿児島県,1530203,9186.20
47,沖縄県,1467065,2282.11
